Project ID,Status,Input File,Video Title,Caption & Hashtags,Original Duration,Short Duration,Scene Count,Opening Hook Score,Effects Summary,Output File,Created At,Rendered At
"VID_20260603_180225","🤖 Timeline Ready","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up, Epic Reveal","","2026-07-20 06:52",""
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 06:58"
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 07:03"
"VID_20260603_180225","❌ Failed","","","","","","","","","","","2026-07-20 07:08"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 07:12"
"VID_20260603_180225","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","01:29","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up, Epic Reveal","/archive/VID_20260603_180225/VID_20260603_180225_final.mp4","2026-07-20 14:06","2026-07-20 14:12"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 07:41"
"VID_20260603_180225","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng... #lamsachgiay #meovat","01:29","32.0s","6","0.95","Fast Motion, Satisfying Timewarp, Epic Reveal","/archive/VID_20260603_180225/VID_20260603_180225_final.mp4","2026-07-20 14:06:44","2026-07-20 14:47:30"
"VID_20260603_180225","🎬 Rendered","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/incoming/VID_20260603_180225.mp4","Mẹo Làm Sạch Đế Giày Ố Vàng Siêu Nhanh Tại Nhà","Hướng dẫn chi tiết từng bước làm sạch đế giày bị ố vàng bằng dung dịch chuyên dụng và mút xốp cực kỳ đơn giản và hiệu quả. #lamsachgiay #meovat #giaydep #cleaningshoes","","35.0s","7","0.9","Epic Reveal, Fast Motion, Satisfying Timewarp, Cinematic Zoom, Jump Cuts, Speed Up","/Users/khan/Library/CloudStorage/Nextcloud-ltckha@nc․giayhainancy․vn/Share_Folder/Long2Short/rendered/VID_20260603_180225_final.mp4","","2026-07-20 14:50:07"
"VID_20260603_180225","","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260603_180225.mp4","","","","","","","","","",""
"VID_20260622_171725","Long2Short","🎬 Rendered","/Users/khan/Developer/Auto-Video-Factory/incoming/VID_20260622_171725.mp4","Khui Hộp Phụ Kiện Đánh Bóng Mini Siêu Tiện Lợi","Bộ đầu mài nỉ đánh bóng mini chuyên dụng cho dân làm đồ da thủ công và DIY cực kỳ tiện lợi. #diy #handmade #dungcudiy #danhbong #lamdoda","","56.0s","5","0.95","Epic Reveal, Speed Up, Zoom In, Shake, Fast Motion","/Volumes/Media/Auto-Video-Factory/archive/VID_20260622_171725/VID_20260622_171725_final.mp4","","2026-07-22 10:14:19"
"VID_20260621_173714","Long2Short","","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260621_173714.mp4","","","","","","","","","",""
"20260708_070009","Long2Short","","","","","91.0s","","","","","","",""
"20260708_183534","Long2Short","","","","","99.0s","","","","","","",""
"20260708_193633","Long2Short","","","","","120.0s","","","","","","",""
"20260709_183534","Long2Short","","","","","101.0s","","","","","","",""
"20260709_193633","Long2Short","","","","","133.0s","","","","","","",""
"VID_20260603_180225","Long2Short","","","","","89.0s","","","","","","",""
"VID_20260621_173714","Long2Short","","","","","67.0s","","","","","","",""
"VID_20260622_123701","Long2Short","","","","","96.0s","","","","","","",""
"VID_20260622_124139","Long2Short","","","","","50.5s","","","","","","",""
"VID_20260622_171725","Long2Short","","","","","59.0s","","","","","","",""
"VID_20260710_202451","Long2Short","","","","","33.0s","","","","","","",""
"20260708_070009","Long2Short","","","","","","","","","","","2026-07-22 10:24:06",""
"20260708_183534","Long2Short","","","","","","","","","","","2026-07-22 10:24:08",""
"20260708_193633","Long2Short","","","","","","","","","","","2026-07-22 10:24:11",""
"20260709_183534","Long2Short","","","","","","","","","","","2026-07-22 10:24:13",""
"20260709_193633","Long2Short","","","","","","","","","","","2026-07-22 10:24:15",""
"VID_20260603_180225","Long2Short","","","","","","","","","","","2026-07-22 10:24:18",""
"VID_20260621_173714","Long2Short","","","","","","","","","","","2026-07-22 10:24:20",""
"VID_20260622_123701","Long2Short","","","","","","","","","","","2026-07-22 10:24:23",""
"VID_20260622_124139","Long2Short","","","","","","","","","","","2026-07-22 10:24:25",""
"VID_20260622_171725","Long2Short","","","","","","","","","","","2026-07-22 10:24:27",""
"VID_20260710_202451","Long2Short","","","","","","","","","","","2026-07-22 10:24:29",""
"VID_20260622_171922","Long2Short","🎬 Rendered","","Nghiện Đánh Bóng Da Handmade Siêu Mượt","Quá trình hoàn thiện cạnh bao da cực kỳ thỏa mãn thị giác #leathercraft #satisfying #handmade #diy","34.4s","21.0s","4","0.95","Epic Reveal, Satisfying Timewarp, Glow, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/VID_20260622_171922/VID_20260622_171922_final.mp4","2026-07-22 13:47:49","2026-07-22 13:48:12"
"VID_20260622_172006","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260622_172006.mp4","Nghệ thuật hồi sinh ví da đen bóng loáng cực kỳ thỏa mãn","Chiêm ngưỡng quá trình đánh bóng thủ công chiếc ví da bò thật bằng máy mài mini siêu đã mắt. #dathat #handmade #diy #leathercraft #satisfying","21.6s","18.0s","4","0.95","Epic Reveal, Satisfying Timewarp, Speed Up, Glow","/Volumes/Media/Auto-Video-Factory/archive/VID_20260622_172006/VID_20260622_172006_final.mp4","2026-07-22 14:00:01","2026-07-22 14:00:58"
"VID_20260624_092544","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260624_092544.mp4","Dép đi trong nhà Nest_y siêu êm ái, chống trượt cực đỉnh!","Trải nghiệm đôi dép Nest_y thần thánh, nhẹ êm như đi trên mây, đế chống trượt an toàn, thiết kế tối giản siêu sang. Đảm bảo mê ngay từ lần đầu thử! #depditrongnha #dephanh #dephottrend #sieure #memmai #chongtruot #nest_y #tiktokshop","32.2s","16.5s","4","0.95","Epic Reveal, Zoom In, Satisfying Timewarp, Glow","/Volumes/Media/Auto-Video-Factory/archive/VID_20260624_092544/VID_20260624_092544_final.mp4","2026-07-22 14:45:17","2026-07-22 14:45:38"
"VID_20260624_092630","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260624_092630.mp4","Review Dép Bánh Mì Gấu Siêu Cưng","Cận cảnh đôi dép bánh mì sticker gấu đáng yêu siêu mềm êm chân cực xinh xắn #depbanhmi #depgau #unbox #giare #depxinh","39.0s","35.0s","7","0.95","Epic Reveal, Speed Up, Zoom In, Shake, Glow, Smooth Transition, Cinematic Zoom","/Volumes/Media/Auto-Video-Factory/archive/VID_20260624_092630/VID_20260624_092630_final.mp4","2026-07-23 10:23:49","2026-07-23 10:24:19"
"VID_20260625_123258","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260625_123258.mp4","Unbox đèn pha LED 50W siêu sáng | Chiếu sáng sân vườn, nhà xưởng cực đỉnh!","Cùng mình unbox chiếc đèn pha LED 50W IP66 này nhé. Đèn chống nước, siêu bền, sáng rõ, lắp đặt dễ dàng, phù hợp chiếu sáng mọi không gian ngoài trời! #denled #denphaled #50WLED #denchieusangngoaitroi #chongnuocIP66 #unboxing #reviewcongnghe #vatdungthongminh #denpin #tiktokshop","62.8s","61.0s","5","0.8","Glow, Speed Up, Cinematic Zoom, Smooth Transition","/Volumes/Media/Auto-Video-Factory/archive/VID_20260625_123258/VID_20260625_123258_final.mp4","2026-07-23 10:27:48","2026-07-23 10:29:41"
"VID_20260616_113203","Long2Short","🎬 Rendered","/Volumes/home/Photos/MobileBackup/Xiaomi 15T Pro/DCIM/Camera/2026/06/VID_20260616_113203.mp4","Bí Quyết Vệ Sinh Đồ Da Siêu Dễ Dàng","Unboxing và hướng dẫn dưỡng đồ da với hũ sáp dưỡng cao cấp Shoes Up Leather Soap cực kỳ tiện lợi. #shoesup #leathercare #unboxing #meovat #duongdoda","85.6s","38.0s","7","0.9","Cinematic Zoom, Epic Reveal, Satisfying Timewarp, Fast Motion","/Volumes/Media/Auto-Video-Factory/archive/VID_20260616_113203/VID_20260616_113203_final.mp4","2026-07-23 10:48:27","2026-07-23 10:49:58"
